;GHI
2261;0
2262;0
2263;157
2264;267
2265;618
2266;853
2267;776
2268;610
2269;89
2270;312
2271;539
2272;426
2273;114
2274;0
2275;0
2276;0
2277;0
2278;0
2279;0
2280;0
2281;0
2282;0
2283;0
2284;0
2285;0
2286;0
2287;83
2288;246
2289;385
2290;604
2291;247
2292;685
2293;456
2294;859
2295;209
2296;145
2297;113
2298;0
2299;0
2300;0
2301;0
2302;0
2303;0
2304;0
2305;0
2306;0
2307;0
2308;0
2309;0
2310;0
2311;99
2312;38
2313;480
2314;639
2315;752
2316;754
2317;224
2318;435
2319;619
2320;225
2321;68
2322;0
2323;0
2324;0
2325;0
2326;0
2327;0
2328;0
2329;0
2330;0
2331;0
2332;0
2333;0
2334;0
2335;168
2336;421
2337;515
2338;297
2339;174
2340;199
2341;322
2342;345
2343;417
2344;392
2345;175
2346;0
2347;0
2348;0
2349;0
2350;0
2351;0
2352;0
2353;0
2354;0
2355;0
2356;0
2357;0
2358;0
2359;18
2360;229
2361;263
2362;436
2363;504
2364;408
2365;467
2366;344
2367;298
2368;275
2369;155
2370;0
2371;0
2372;0
2373;0
2374;0
2375;0
2376;0
2377;0
2378;0
2379;0
2380;0
2381;0
2382;0
2383;65
2384;278
2385;329
2386;553
2387;559
2388;509
2389;945
2390;702
2391;460
2392;319
2393;178
2394;0
2395;0
2396;0
2397;0
2398;0
2399;0
2400;0
2401;0
2402;0
2403;0
2404;0
2405;0
2406;0
2407;154
2408;182
2409;297
2410;768
2411;491
2412;632
2413;619
2414;336
2415;244
2416;281
2417;191
2418;0
2419;0
2420;0
2421;0
2422;0
2423;0
2424;0
2425;0
2426;0
2427;0
2428;0
2429;0
2430;0
2431;165
2432;411
2433;552
2434;546
2435;546
2436;367
2437;581
2438;806
2439;574
2440;438
2441;186
2442;0
2443;0
2444;0
2445;0
2446;0
2447;0
2448;0
2449;0
2450;0
2451;0
2452;0
2453;0
2454;0
2455;169
2456;417
2457;418
2458;553
2459;688
2460;494
2461;471
2462;456
2463;589
2464;371
2465;119
2466;0
2467;0
2468;0
2469;0
2470;0
2471;0
2472;0
2473;0
2474;0
2475;0
2476;0
2477;0
2478;0
2479;168
2480;418
2481;613
2482;507
2483;380
2484;631
2485;638
2486;685
2487;665
2488;436
2489;173
2490;0
2491;0
2492;0
2493;0
2494;0
2495;0
2496;0
2497;0
2498;0
2499;0
2500;0
2501;0
2502;0
2503;168
2504;417
2505;653
2506;823
2507;929
2508;970
2509;923
2510;859
2511;661
2512;419
2513;181
2514;0
2515;0
2516;0
2517;0
2518;0
2519;0
2520;0
2521;0
2522;0
2523;0
2524;0
2525;0
2526;0
2527;166
2528;416
2529;651
2530;745
2531;881
2532;903
2533;838
2534;545
2535;654
2536;432
2537;179
2538;0
2539;0
2540;0
2541;0
2542;0
2543;0
2544;0
2545;0
2546;0
2547;0
2548;0
2549;0
2550;0
2551;165
2552;417
2553;646
2554;832
2555;929
2556;953
2557;789
2558;829
2559;647
2560;415
2561;179
2562;0
2563;0
2564;0
2565;0
2566;0
2567;0
2568;0
2569;0
2570;0
2571;0
2572;0
2573;0
2574;0
2575;166
2576;414
2577;644
2578;745
2579;835
2580;950
2581;827
2582;732
2583;633
2584;426
2585;174
2586;0
2587;0
2588;0
2589;0
2590;0
2591;0
2592;0
2593;0
2594;0
2595;0
2596;0
2597;0
2598;0
2599;163
2600;397
2601;539
2602;752
2603;752
2604;868
2605;768
2606;391
2607;557
2608;310
2609;146
2610;0
2611;0
2612;0
2613;0
2614;0
2615;0
2616;0
2617;0
2618;0
2619;0
2620;0
2621;0
2622;0
2623;165
2624;411
2625;627
2626;741
2627;473
2628;718
2629;594
2630;531
2631;616
2632;413
2633;165
2634;0
2635;0
2636;0
2637;0
2638;0
2639;0
2640;0
2641;0
2642;0
2643;0
2644;0
2645;0
2646;0
2647;166
2648;403
2649;622
2650;796
2651;842
2652;674
2653;778
2654;771
2655;623
2656;408
2657;165
2658;0
2659;0
2660;0
2661;0
2662;0
2663;0
2664;0
2665;0
2666;0
2667;0
2668;0
2669;0
2670;0
2671;157
2672;409
2673;627
2674;645
2675;695
2676;557
2677;590
2678;347
2679;285
2680;389
2681;155
2682;0
2683;0
2684;0
2685;0
2686;0
2687;0
2688;0
2689;0
2690;0
2691;0
2692;0
2693;0
2694;0
2695;94
2696;194
2697;464
2698;787
2699;757
2700;908
2701;305
2702;803
2703;630
2704;391
2705;167
2706;0
2707;0
2708;0
2709;0
2710;0
2711;0
2712;0
2713;0
